Subject,Sequence,Boundary,SpeechRate,TokenNumber,LLy_ConstrictionDur,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,1,14,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,2,14,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,3,11.1,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,4,14,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,5,12,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,6,10,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,7,12,
K10,a.pa (아바이 동무는 북한말이야),Within-word,fast,8,12,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,1,28,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,2,16,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,3,22,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,4,24,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,5,23.7,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,6,16,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,7,28,
K10,a.pa (아바이 동무는 북한말이야),Within-word,comf,8,24,
K10,a#pa (전아 바가지를 팔아),across word,fast,1,9.5,
K10,a#pa (전아 바가지를 팔아),across word,fast,2,12,
K10,a#pa (전아 바가지를 팔아),across word,fast,3,10,
K10,a#pa (전아 바가지를 팔아),across word,fast,4,9.1,
K10,a#pa (전아 바가지를 팔아),across word,fast,5,10,
K10,a#pa (전아 바가지를 팔아),across word,fast,6,14,
K10,a#pa (전아 바가지를 팔아),across word,fast,7,12,
K10,a#pa (전아 바가지를 팔아),across word,fast,8,10,
K10,a#pa (전아 바가지를 팔아),across word,comf,1,38,
K10,a#pa (전아 바가지를 팔아),across word,comf,2,36,
K10,a#pa (전아 바가지를 팔아),across word,comf,3,16,
K10,a#pa (전아 바가지를 팔아),across word,comf,4,18,
K10,a#pa (전아 바가지를 팔아),across word,comf,5,18,
K10,a#pa (전아 바가지를 팔아),across word,comf,6,26,
K10,a#pa (전아 바가지를 팔아),across word,comf,7,20,
K10,a#pa (전아 바가지를 팔아),across word,comf,8,44,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,1,12,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,2,14,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,3,13.8,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,4,16,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,5,14,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,6,18,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,7,14,
K12,a.pa (아바이 동무는 북한말이야),Within-word,fast,8,14,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,1,16,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,2,22,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,3,14,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,4,16,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,5,14,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,6,20,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,7,12,
K12,a.pa (아바이 동무는 북한말이야),Within-word,comf,8,14,
K12,a#pa (전아 바가지를 팔아),across word,fast,1,12,
K12,a#pa (전아 바가지를 팔아),across word,fast,2,10,
K12,a#pa (전아 바가지를 팔아),across word,fast,3,14,
K12,a#pa (전아 바가지를 팔아),across word,fast,4,10,
K12,a#pa (전아 바가지를 팔아),across word,fast,5,12,
K12,a#pa (전아 바가지를 팔아),across word,fast,6,14,
K12,a#pa (전아 바가지를 팔아),across word,fast,7,14,
K12,a#pa (전아 바가지를 팔아),across word,fast,8,14,
K12,a#pa (전아 바가지를 팔아),across word,comf,1,17.6,
K12,a#pa (전아 바가지를 팔아),across word,comf,2,14,
K12,a#pa (전아 바가지를 팔아),across word,comf,3,10,
K12,a#pa (전아 바가지를 팔아),across word,comf,4,12,
K12,a#pa (전아 바가지를 팔아),across word,comf,5,12,
K12,a#pa (전아 바가지를 팔아),across word,comf,6,14,
K12,a#pa (전아 바가지를 팔아),across word,comf,7,14,
K12,a#pa (전아 바가지를 팔아),across word,comf,8,14,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,1,13.2,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,2,12,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,3,12,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,4,15.1,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,5,12,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,6,20,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,7,18,
K14,a.pa (아바이 동무는 북한말이야),Within-word,fast,8,12,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,1,22,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,2,20,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,3,16,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,4,17.6,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,5,18.5,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,6,20,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,7,24,
K14,a.pa (아바이 동무는 북한말이야),Within-word,comf,8,28,
K14,a#pa (전아 바가지를 팔아),across word,fast,1,12,
K14,a#pa (전아 바가지를 팔아),across word,fast,2,10,
K14,a#pa (전아 바가지를 팔아),across word,fast,3,14,
K14,a#pa (전아 바가지를 팔아),across word,fast,4,14,
K14,a#pa (전아 바가지를 팔아),across word,fast,5,12,
K14,a#pa (전아 바가지를 팔아),across word,fast,6,10,
K14,a#pa (전아 바가지를 팔아),across word,fast,7,16,
K14,a#pa (전아 바가지를 팔아),across word,fast,8,17.7,
K14,a#pa (전아 바가지를 팔아),across word,comf,1,12,
K14,a#pa (전아 바가지를 팔아),across word,comf,2,9.6,
K14,a#pa (전아 바가지를 팔아),across word,comf,3,14,
K14,a#pa (전아 바가지를 팔아),across word,comf,4,13.6,
K14,a#pa (전아 바가지를 팔아),across word,comf,5,12,
K14,a#pa (전아 바가지를 팔아),across word,comf,6,18,
K14,a#pa (전아 바가지를 팔아),across word,comf,7,46,
K14,a#pa (전아 바가지를 팔아),across word,comf,8,12,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,1,10.8,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,2,12,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,3,10.2,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,4,12,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,5,14,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,6,10,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,7,10,
K15,a.pa (아바이 동무는 북한말이야),Within-word,fast,8,12,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,1,10,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,2,12,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,3,10,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,4,12,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,5,10,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,6,14,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,7,40,
K15,a.pa (아바이 동무는 북한말이야),Within-word,comf,8,14,#REF!
K15,a#pa (전아 바가지를 팔아),across word,fast,1,10,
K15,a#pa (전아 바가지를 팔아),across word,fast,2,12,
K15,a#pa (전아 바가지를 팔아),across word,fast,3,12,
K15,a#pa (전아 바가지를 팔아),across word,fast,4,10,
K15,a#pa (전아 바가지를 팔아),across word,fast,5,10,
K15,a#pa (전아 바가지를 팔아),across word,fast,6,11.6,
K15,a#pa (전아 바가지를 팔아),across word,fast,7,10,
K15,a#pa (전아 바가지를 팔아),across word,fast,8,12,
K15,a#pa (전아 바가지를 팔아),across word,comf,1,12,
K15,a#pa (전아 바가지를 팔아),across word,comf,2,16,
K15,a#pa (전아 바가지를 팔아),across word,comf,3,16,
K15,a#pa (전아 바가지를 팔아),across word,comf,4,14,
K15,a#pa (전아 바가지를 팔아),across word,comf,5,18,
K15,a#pa (전아 바가지를 팔아),across word,comf,6,12,
K15,a#pa (전아 바가지를 팔아),across word,comf,7,10,
K15,a#pa (전아 바가지를 팔아),across word,comf,8,12.8,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,1,12,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,2,14,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,3,10,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,4,18,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,5,14,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,6,12,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,7,12,
K16,a.pa (아바이 동무는 북한말이야),Within-word,fast,8,14,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,1,14,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,2,12,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,3,18,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,4,18,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,5,16,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,6,14,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,7,16,
K16,a.pa (아바이 동무는 북한말이야),Within-word,comf,8,20,
K16,a#pa (전아 바가지를 팔아),across word,fast,1,14,
K16,a#pa (전아 바가지를 팔아),across word,fast,2,16,
K16,a#pa (전아 바가지를 팔아),across word,fast,3,12,
K16,a#pa (전아 바가지를 팔아),across word,fast,4,10,
K16,a#pa (전아 바가지를 팔아),across word,fast,5,14,
K16,a#pa (전아 바가지를 팔아),across word,fast,6,12.5,
K16,a#pa (전아 바가지를 팔아),across word,fast,7,14,
K16,a#pa (전아 바가지를 팔아),across word,fast,8,12,
K16,a#pa (전아 바가지를 팔아),across word,comf,1,23,
K16,a#pa (전아 바가지를 팔아),across word,comf,2,18,
K16,a#pa (전아 바가지를 팔아),across word,comf,3,22,
K16,a#pa (전아 바가지를 팔아),across word,comf,4,12.2,
K16,a#pa (전아 바가지를 팔아),across word,comf,5,26,
K16,a#pa (전아 바가지를 팔아),across word,comf,6,22.4,
K16,a#pa (전아 바가지를 팔아),across word,comf,7,20,
K16,a#pa (전아 바가지를 팔아),across word,comf,8,18,